,kAB,kBA,kex,pA,pB,offsetA,offsetB,deltaomega,R2A,R2B,R1A,R1B,M0
827,50.85903562197108,123.30811769765577,174.16715331962686,0.7079872142789406,0.2920127857210593,0.0,832.6522348222625,832.6522348222625,9.628467916308212,9.628467916308212,2.0,2.0,2180243.639464156
828,50.464868530118984,133.75618480974572,184.2210533398647,0.7260635111177133,0.27393648888228667,0.0,828.1497585461567,828.1497585461567,9.84164720575612,9.84164720575612,2.0,2.0,2122997.3785216804
829,50.85305188468099,138.62118346059736,189.47423534527834,0.7316096735157073,0.2683903264842928,0.0,827.1285189996017,827.1285189996017,9.753145546199468,9.753145546199468,2.0,2.0,2113446.606631142
830,50.772974996180785,118.6325353032371,169.4055102994179,0.7002873465777975,0.29971265342220244,0.0,826.4748022316647,826.4748022316647,10.428960569383696,10.428960569383696,2.0,2.0,2226565.3217351614
831,50.90190695965711,127.96274610647399,178.8646530661311,0.7154166232003519,0.28458337679964807,0.0,838.4150057911914,838.4150057911914,9.584390136595285,9.584390136595285,2.0,2.0,2155332.836481688
832,50.51384495736759,138.5490132657696,189.06285822313717,0.7328198386922208,0.2671801613077793,0.0,821.3129035897804,821.3129035897804,10.024236269578733,10.024236269578733,2.0,2.0,2112899.034639857
833,49.8804713682783,116.04798065458674,165.92845202286503,0.6993856643621027,0.30061433563789736,0.0,833.6286595174956,833.6286595174956,10.442388897673275,10.442388897673275,2.0,2.0,2212451.6317581194
834,50.53934994987434,145.35285946911623,195.89220941899057,0.7420042884820571,0.25799571151794287,0.0,820.5659538104488,820.5659538104488,10.265830237669345,10.265830237669345,2.0,2.0,2096553.4622670396
835,50.24956743304334,124.6161491700823,174.86571660312563,0.7126391129766763,0.2873608870233238,0.0,826.0942393201996,826.0942393201996,9.75359106376593,9.75359106376593,2.0,2.0,2158324.2280704426
836,50.26208106776202,139.68388455006928,189.9459656178313,0.7353874776741053,0.2646125223258948,0.0,819.1356405944786,819.1356405944786,10.079128050151766,10.079128050151766,2.0,2.0,2103939.0305017987
837,51.07562283932647,146.05132528483665,197.1269481241631,0.7408998448697345,0.2591001551302656,0.0,818.4502888394189,818.4502888394189,9.239998667120409,9.239998667120409,2.0,2.0,2065909.8205634544
838,50.56770568822158,133.50154983402837,184.06925552224993,0.7252789144784201,0.27472108552158,0.0,830.0294765763729,830.0294765763729,10.245323033307553,10.245323033307553,2.0,2.0,2134104.815165733
839,51.15486181813741,130.5411182828819,181.69598010101933,0.7184590336577819,0.2815409663422181,0.0,828.477590023492,828.477590023492,9.947487200121365,9.947487200121365,2.0,2.0,2158625.909393215
840,50.87450002931285,130.80349144989293,181.6779914792058,0.719974336929326,0.28002566307067395,0.0,818.6638541370688,818.6638541370688,9.880450481388621,9.880450481388621,2.0,2.0,2134600.2965019913
841,51.23804327138371,122.61806930989715,173.85611258128085,0.705284775377518,0.294715224622482,0.0,827.9021173879006,827.9021173879006,9.700673475207735,9.700673475207735,2.0,2.0,2189668.9140625666
842,50.53527964574405,133.88010272580573,184.41538237154978,0.7259703664853271,0.27402963351467285,0.0,820.3378934952004,820.3378934952004,10.250807469943958,10.250807469943958,2.0,2.0,2138345.0609455677
843,51.37920120452995,138.00480760706031,189.38400881159026,0.7287035926267416,0.2712964073732584,0.0,827.4548070268411,827.4548070268411,9.361742013776574,9.361742013776574,2.0,2.0,2123244.149873962
844,50.79097940949923,131.18410835526785,181.97508776476707,0.72089047993671,0.2791095200632901,0.0,822.6158443358687,822.6158443358687,9.485193645995217,9.485193645995217,2.0,2.0,2123636.2555394988
845,51.11496934787973,134.03976049004842,185.15472983792816,0.723933763978796,0.27606623602120395,0.0,821.9191499403046,821.9191499403046,10.038362478607855,10.038362478607855,2.0,2.0,2140712.1081519024
846,51.176989745585125,128.66682793238772,179.84381767797285,0.7154364803508436,0.2845635196491564,0.0,828.4030519847843,828.4030519847843,9.612861527851935,9.612861527851935,2.0,2.0,2164175.6007158896
847,50.29614724347042,127.93134943525008,178.2274966787205,0.7177980492306631,0.2822019507693368,0.0,826.6513319924353,826.6513319924353,10.331531831427583,10.331531831427583,2.0,2.0,2162853.781174799
848,50.595058238960235,122.01479482889742,172.60985306785767,0.7068819807229084,0.29311801927709147,0.0,827.1647586578086,827.1647586578086,10.223498114666107,10.223498114666107,2.0,2.0,2192412.4485841957
849,50.90984666654954,140.12447059149682,191.03431725804637,0.733504181880676,0.2664958181193239,0.0,825.2593598981877,825.2593598981877,9.783985210910336,9.783985210910336,2.0,2.0,2107619.1147953635
850,51.264899965008865,131.05434706898876,182.3192470339976,0.7188179481925496,0.28118205180745043,0.0,822.6844085191428,822.6844085191428,10.011079903905841,10.011079903905841,2.0,2.0,2163778.7144505223
851,51.08252684508948,124.07926167665134,175.16178852174082,0.7083694607357289,0.29163053926427107,0.0,836.8386881618129,836.8386881618129,9.871523310319093,9.871523310319093,2.0,2.0,2192966.867881714
